364431.56217015,4947522.77194391,1
364501.29877019,4947455.88869006,1
364549.80488443,4947369.97467961,1
364603.58656735,4947287.21003791,1
364662.96016579,4947208.7712428,1
364740.66978846,4947150.85012734,1
364683.00918429,4947222.3199902,1
364619.66321034,4947298.03440959,1
364556.31723639,4947373.74882898,1
364492.97126245,4947449.46324837,1
364434.38645881,4947521.02015569,1
364502.94339932,4947452.9876267,1
364551.6967527,4947367.20681051,1
364605.04185854,4947284.18349322,1
364665.58745737,4947206.47315051,1
364744.0406134,4947149.39046263,1
